Significant Go Accession: GO:0009195  Value: 0.000091
Significant Go Accession: GO:0035267  Value: 0.000000
Significant Go Accession: GO:0030346  Value: 0.000001
Significant Go Accession: GO:0045840  Value: 0.000000
Significant Go Accession: GO:0005773  Value: 0.000131
Significant Go Accession: GO:0004287  Value: 0.000000
Significant Go Accession: GO:0019969  Value: 0.000001
Significant Go Accession: GO:0005088  Value: 0.000000
Significant Go Accession: GO:0042575  Value: 0.000001
Significant Go Accession: GO:0050823  Value: 0.000091
Significant Go Accession: GO:0000132  Value: 0.000820
Significant Go Accession: GO:0016281  Value: 0.000000
Significant Go Accession: GO:0019807  Value: 0.003273
Significant Go Accession: GO:0008502  Value: 0.000048
Significant Go Accession: GO:0015925  Value: 0.000058
Significant Go Accession: GO:0042347  Value: 0.000009
Significant Go Accession: GO:0008327  Value: 0.000003
Significant Go Accession: GO:0042558  Value: 0.001457
Significant Go Accession: GO:0005976  Value: 0.000113
Significant Go Accession: GO:0016979  Value: 0.000001
Significant Go Accession: GO:0007206  Value: 0.000001
Significant Go Accession: GO:0050435  Value: 0.000003
Significant Go Accession: GO:0008157  Value: 0.002275
Significant Go Accession: GO:0001836  Value: 0.000026
Significant Go Accession: GO:0008503  Value: 0.000000
Significant Go Accession: GO:0045134  Value: 0.000820
Significant Go Accession: GO:0006475  Value: 0.001457
Significant Go Accession: GO:0007263  Value: 0.000000
Significant Go Accession: GO:0045722  Value: 0.000002
Significant Go Accession: GO:0005093  Value: 0.000039
Significant Go Accession: GO:0030935  Value: 0.000000
Significant Go Accession: GO:0007386  Value: 0.000000
Significant Go Accession: GO:0007274  Value: 0.000016
Significant Go Accession: GO:0017034  Value: 0.000000
Significant Go Accession: GO:0007176  Value: 0.000001
Significant Go Accession: GO:0008499  Value: 0.000001
Significant Go Accession: GO:0016081  Value: 0.000039
Significant Go Accession: GO:0008635  Value: 0.000000
Significant Go Accession: GO:0051053  Value: 0.000000
Significant Go Accession: GO:0019798  Value: 0.000000
Significant Go Accession: GO:0000254  Value: 0.000820
Significant Go Accession: GO:0004906  Value: 0.000820
Significant Go Accession: GO:0046979  Value: 0.000002
Significant Go Accession: GO:0001758  Value: 0.000009
Significant Go Accession: GO:0009312  Value: 0.000000
Significant Go Accession: GO:0043190  Value: 0.000000
Significant Go Accession: GO:0003815  Value: 0.000365
Significant Go Accession: GO:0009231  Value: 0.000365
Significant Go Accession: GO:0004824  Value: 0.000000
Significant Go Accession: GO:0015270  Value: 0.000000
Significant Go Accession: GO:0046324  Value: 0.000000
Significant Go Accession: GO:0006710  Value: 0.000091
